gün,saat,turnuva,ev,dep,maç_id,marketName,label,fixedOdds,currentOdds
Bugün,19:00,NOR1,Aalesunds,Hodd IL,2125759,Maç Sonucu,MS 1,1.18,1.2
Bugün,19:00,AVU2,Sturm Gr.(A),SV Lafnitz,2125593,Karşılıklı Gol,KG Var,1.23,1.22
Bugün,19:00,NOR1,IK Start,Egersunds,2125760,"Altı/Üstü 2,5","2,5 Üst",1.44,1.44
Bugün,15:00,ÇİN,Yunnan Yukun,Meizhou Hakka,2125627,İlk Yarı Sonucu,İY 1,1.6,1.59
Bugün,20:00,DAN2,HB Koege,B93 Kopenhag,2127119,"Altı/Üstü 2,5","2,5 Üst",1.4,1.4
Bugün,19:00,NOR,Fredrikstad,KFUM Oslo,2125756,Maç Sonucu,MS 1,1.78,1.74
Bugün,19:00,AVU2,First Vienna,Amstetten,2125596,Karşılıklı Gol,KG Var,1.37,1.37
Bugün,19:40,Suudi Prof,AL Orouba SC,AL Khaleej,2123390,Karşılıklı Gol,KG Var,1.36,1.37
Bugün,20:00,LVA,Dfk Dainava ,Suduva,2125744,İlk Yarı Sonucu,İY X,1.8,1.81
Bugün,19:00,NOR,Fredrikstad,KFUM Oslo,2125756,Karşılıklı Gol,KG Yok,1.37,1.36
Bugün,19:00,AVU2,First Vienna,Amstetten,2125596,"Altı/Üstü 2,5","2,5 Üst",1.44,1.44
Bugün,15:00,ÇİN,Yunnan Yukun,Meizhou Hakka,2125627,"Altı/Üstü 2,5","2,5 Üst",1.26,1.25
Bugün,19:00,Ekstraklas,Stal Mielec,Radomiak R.,2127490,"Altı/Üstü 2,5","2,5 Üst",1.59,1.59
Bugün,19:40,Suudi Prof,AL Orouba SC,AL Khaleej,2123390,Toplam Gol,2-3 Gol,1.84,1.84
Bugün,19:00,AVU2,SV Horn,Kapfenberg,2125592,Maç Sonucu,MS 2,2.08,2.03
Bugün,19:00,NOR1,Stabaek,Mjondalen,2125762,"Altı/Üstü 2,5","2,5 Üst",1.29,1.29
Bugün,20:00,DAN2,Roskilde,Hilleroed,2127120,Maç Sonucu,MS 2,1.65,1.69
Bugün,20:00,DAN2,HB Koege,B93 Kopenhag,2127119,Karşılıklı Gol,KG Var,1.36,1.36
Bugün,20:00,LVA,Dfk Dainava ,Suduva,2125744,Maç Sonucu,MS 2,1.62,1.59
Bugün,19:15,Macaristan 1. Ligi,Kecskemeti TE,Puskas Akad.,2127318,Maç Sonucu,MS 2,1.19,1.2
Bugün,12:35,A-Ligi,Western U.,Mel. City,2167654,İlk Yarı Sonucu,İY X,2.08,2.09
Bugün,20:00,LVA,Dfk Dainava ,Suduva,2125744,Karşılıklı Gol,KG Yok,1.46,1.45
Bugün,18:00,ROM1,Otelul Galati,Farul Cons.,2127560,"Altı/Üstü 2,5","2,5 Üst",1.62,1.64
Bugün,12:35,A-Ligi,Western U.,Mel. City,2167654,Toplam Gol,2-3 Gol,1.82,1.83
Bugün,19:00,AVU2,SV Stripfing,Aus Lustenau,2125590,Karşılıklı Gol,KG Var,1.5,1.5
Bugün,19:00,NOR,Rosenborg,Haugesund,2125751,"Altı/Üstü 2,5","2,5 Üst",1.2,1.19
Bugün,18:00,ROM1,Otelul Galati,Farul Cons.,2127560,"Altı/Üstü 1,5","1,5 Üst",1.12,1.13
Bugün,19:00,NOR1,Odds BK,Moss,2125765,Maç Sonucu,MS 1,1.47,1.44
Bugün,18:00,ROM1,Otelul Galati,Farul Cons.,2127560,İlk Yarı Sonucu,İY X,1.94,1.94
Bugün,19:00,NOR,Viking,Sandefjord,2125750,Karşılıklı Gol,KG Var,1.33,1.34
Bugün,12:35,A-Ligi,Western U.,Mel. City,2167654,Maç Sonucu,MS 2,1.93,1.98
Bugün,15:00,ÇİN,Yunnan Yukun,Meizhou Hakka,2125627,"Altı/Üstü 3,5","3,5 Alt",1.51,1.53
Bugün,17:00,BRUS1,Smorgon,S. Mozyr,2125623,Karşılıklı Gol,KG Yok,1.48,1.45
Bugün,19:00,NOR,Molde,Kristiansund,2125753,Toplam Gol,2-3 Gol,2.02,2.02
Bugün,19:00,NOR1,Sogndal,Asane,2125761,Karşılıklı Gol,KG Var,1.38,1.37
Bugün,20:00,DAN2,Vendsyssel,Hobro IK,2127121,"Altı/Üstü 2,5","2,5 Üst",1.52,1.5
Bugün,19:00,LET1,SK Super Nova,FK Tukums 2000/Tss,2125742,"Altı/Üstü 2,5","2,5 Üst",1.58,1.58
Bugün,19:00,LET1,SK Super Nova,FK Tukums 2000/Tss,2125742,İlk Yarı Sonucu,İY X,2.0,2.0
Bugün,20:00,DAN2,HB Koege,B93 Kopenhag,2127119,İlk Yarı Sonucu,İY X,2.13,2.12
Bugün,19:00,NOR1,Odds BK,Moss,2125765,İlk Yarı Sonucu,İY 1,1.9,1.87
Bugün,19:00,BRUS1,Torp. Zhodino,Neman Grodno,2125621,İlk Yarı Sonucu,İY X,1.55,1.56
Bugün,20:00,DAN2,Roskilde,Hilleroed,2127120,İlk Yarı Sonucu,İY 2,2.11,2.15
Bugün,19:00,NOR,Molde,Kristiansund,2125753,Maç Sonucu,MS 1,1.26,1.28
Bugün,19:00,AVU2,ASK Voitsberg,Team für Wien,2125594,Maç Sonucu,MS 1,1.62,1.62
Bugün,19:00,NOR,Brann,Sarpsborg,2125755,Maç Sonucu,MS 1,1.5,1.52
Bugün,19:00,NOR1,Sogndal,Asane,2125761,"Altı/Üstü 2,5","2,5 Üst",1.45,1.43
Bugün,18:00,FİN1,Gnistan,Seinöjoen,2125661,Maç Sonucu,MS 2,2.26,2.22
Bugün,19:15,Macaristan 1. Ligi,Kecskemeti TE,Puskas Akad.,2127318,"Altı/Üstü 2,5","2,5 Üst",1.37,1.37
Bugün,19:00,AVU2,SV Stripfing,Aus Lustenau,2125590,Toplam Gol,2-3 Gol,1.75,1.75
Bugün,20:00,DAN2,Vendsyssel,Hobro IK,2127121,Maç Sonucu,MS 1,1.61,1.58
Bugün,19:00,LET1,SK Super Nova,FK Tukums 2000/Tss,2125742,Maç Sonucu,MS 1,1.66,1.66
Bugün,19:00,LET1,SK Super Nova,FK Tukums 2000/Tss,2125742,Karşılıklı Gol,KG Var,1.52,1.52
Bugün,19:00,NOR,Viking,Sandefjord,2125750,Maç Sonucu,MS 1,1.43,1.47
Bugün,14:35,ÇİN,Zhejiang,Henan Jianye,2125626,Karşılıklı Gol,KG Var,1.38,1.39
Bugün,19:00,NOR1,IK Start,Egersunds,2125760,Toplam Gol,2-3 Gol,1.83,1.83
Bugün,15:00,ÇİN,Yunnan Yukun,Meizhou Hakka,2125627,Karşılıklı Gol,KG Var,1.43,1.42
Bugün,19:00,NOR,Fredrikstad,KFUM Oslo,2125756,"Altı/Üstü 2,5","2,5 Alt",1.27,1.26
Bugün,19:00,HNL1,Istra 61,Sibenik,2127050,Toplam Gol,2-3 Gol,1.73,1.73
Bugün,19:00,NOR,Stromsgodset,Bryne,2125752,"Altı/Üstü 2,5","2,5 Üst",1.49,1.47
Bugün,17:00,BRUS1,Smorgon,S. Mozyr,2125623,İlk Yarı Sonucu,İY X,1.9,1.88
Bugün,19:00,NOR1,Lyn Toppo.,Skeid,2125763,"Altı/Üstü 2,5","2,5 Alt",1.58,1.58
Bugün,19:00,NOR,Stromsgodset,Bryne,2125752,Karşılıklı Gol,KG Var,1.5,1.48
Bugün,18:55,Suudi Prof,Al Fateh,Al Hilal,2123386,İlk Yarı Sonucu,İY 2,1.67,1.67
Bugün,19:00,AVU2,Sturm Gr.(A),SV Lafnitz,2125593,"Altı/Üstü 2,5","2,5 Üst",1.19,1.18
Bugün,19:00,NOR,Tromso IL,Bodo Glimt,2125754,Maç Sonucu,MS 2,1.53,1.56
Bugün,19:00,NOR1,IK Start,Egersunds,2125760,Karşılıklı Gol,KG Var,1.37,1.36
Bugün,19:00,NOR,Viking,Sandefjord,2125750,"Altı/Üstü 3,5","3,5 Alt",1.57,1.55
Bugün,19:00,AVU2,St. Polten,R. Wien II,2125591,İlk Yarı Sonucu,İY 1,1.55,1.56
Bugün,19:00,Ekstraklas,Stal Mielec,Radomiak R.,2127490,Maç Sonucu,MS 1,2.16,2.16
Bugün,19:15,Macaristan 1. Ligi,Kecskemeti TE,Puskas Akad.,2127318,İlk Yarı Sonucu,İY 2,1.55,1.57
Bugün,18:00,ROM1,Otelul Galati,Farul Cons.,2127560,Karşılıklı Gol,KG Var,1.53,1.52
Bugün,19:00,NOR1,Lyn Toppo.,Skeid,2125763,Toplam Gol,2-3 Gol,1.75,1.74
Bugün,19:00,NOR1,Stabaek,Mjondalen,2125762,Maç Sonucu,MS 1,1.18,1.19
Bugün,20:00,Süper Lig,Nordsjælland,Aarhus,2125640,Maç Sonucu,MS 1,1.76,1.76
Bugün,19:00,NOR,Stromsgodset,Bryne,2125752,Toplam Gol,2-3 Gol,1.91,1.92
Bugün,12:35,A-Ligi,Western U.,Mel. City,2167654,Karşılıklı Gol,KG Var,1.45,1.43
Bugün,19:00,AVU2,St. Polten,R. Wien II,2125591,Karşılıklı Gol,KG Var,1.23,1.22
Bugün,20:00,DAN2,Vendsyssel,Hobro IK,2127121,İlk Yarı Sonucu,İY 1,2.07,2.06
Bugün,19:00,AVU2,SV Stripfing,Aus Lustenau,2125590,İlk Yarı Sonucu,İY X,1.92,1.92
Bugün,12:35,A-Ligi,Western U.,Mel. City,2167654,"Altı/Üstü 2,5","2,5 Üst",1.56,1.53
Bugün,19:00,AVU2,ASK Voitsberg,Team für Wien,2125594,Toplam Gol,2-3 Gol,1.8,1.8
Bugün,19:00,AVU2,Sturm Gr.(A),SV Lafnitz,2125593,Maç Sonucu,MS 1,1.53,1.49
Bugün,20:00,LVA,Dfk Dainava ,Suduva,2125744,"Altı/Üstü 2,5","2,5 Alt",1.41,1.38
Bugün,19:15,Macaristan 1. Ligi,Kecskemeti TE,Puskas Akad.,2127318,Toplam Gol,2-3 Gol,1.82,1.82
Bugün,19:00,NOR,Viking,Sandefjord,2125750,"Altı/Üstü 2,5","2,5 Üst",1.28,1.28
Bugün,19:00,NOR1,Aalesunds,Hodd IL,2125759,İlk Yarı Sonucu,İY 1,1.57,1.58
Bugün,19:00,NOR1,IK Start,Egersunds,2125760,Maç Sonucu,MS 1,2.01,2.05
Bugün,19:00,AVU2,SV Horn,Kapfenberg,2125592,İlk Yarı Sonucu,İY X,2.18,2.19
Bugün,19:00,AVU2,First Vienna,Amstetten,2125596,Maç Sonucu,MS 1,1.99,1.99
Bugün,14:35,ÇİN,Zhejiang,Henan Jianye,2125626,İlk Yarı Sonucu,İY X,2.08,2.07
Bugün,19:00,NOR,Brann,Sarpsborg,2125755,"Altı/Üstü 2,5","2,5 Üst",1.38,1.37
Bugün,19:00,NOR1,Lillestrom,Kongsvinger,2125764,"Altı/Üstü 2,5","2,5 Üst",1.41,1.4
Bugün,19:00,AVU2,SV Horn,Kapfenberg,2125592,Karşılıklı Gol,KG Var,1.28,1.27
Bugün,19:00,NOR1,Lillestrom,Kongsvinger,2125764,Maç Sonucu,MS 1,1.59,1.56
Bugün,19:00,NOR,Molde,Kristiansund,2125753,İlk Yarı Sonucu,İY 1,1.65,1.67
Bugün,19:00,NOR,Fredrikstad,KFUM Oslo,2125756,İlk Yarı Sonucu,İY X,1.71,1.72
Bugün,18:00,FİN1,Gnistan,Seinöjoen,2125661,Toplam Gol,2-3 Gol,1.94,1.94
Bugün,20:00,DAN2,HB Koege,B93 Kopenhag,2127119,Maç Sonucu,MS 1,1.74,1.74
Bugün,18:00,ROM1,Otelul Galati,Farul Cons.,2127560,Toplam Gol,2-3 Gol,1.77,1.76
Bugün,19:00,NOR,Viking,Sandefjord,2125750,İlk Yarı Sonucu,İY 1,1.87,1.88
Bugün,14:35,ÇİN,Zhejiang,Henan Jianye,2125626,Maç Sonucu,MS 1,1.84,1.88
Bugün,19:00,NOR,Brann,Sarpsborg,2125755,Karşılıklı Gol,KG Var,1.41,1.4
Bugün,17:00,BRUS1,Smorgon,S. Mozyr,2125623,Maç Sonucu,MS 2,1.44,1.49
Bugün,19:00,NOR,Rosenborg,Haugesund,2125751,İlk Yarı Sonucu,İY 1,1.29,1.28
Bugün,19:00,NOR,Stromsgodset,Bryne,2125752,Maç Sonucu,MS 1,1.52,1.55
Bugün,19:00,NOR,Rosenborg,Haugesund,2125751,Maç Sonucu,MS 1,1.0,1.0
Bugün,14:35,ÇİN,Zhejiang,Henan Jianye,2125626,"Altı/Üstü 2,5","2,5 Üst",1.44,1.45
Bugün,19:00,NOR,Brann,Sarpsborg,2125755,İlk Yarı Sonucu,İY 1,1.97,1.96
Bugün,19:00,BRUS1,Torp. Zhodino,Neman Grodno,2125621,"Altı/Üstü 2,5","2,5 Alt",1.13,1.14
Bugün,19:00,AVU2,SV Horn,Kapfenberg,2125592,Toplam Gol,2-3 Gol,1.94,1.95
Bugün,19:40,Suudi Prof,AL Orouba SC,AL Khaleej,2123390,Maç Sonucu,MS 1,1.72,1.76
Bugün,19:00,BRUS1,Torp. Zhodino,Neman Grodno,2125621,Maç Sonucu,MS 1,1.99,1.94
Bugün,14:35,ÇİN,Zhejiang,Henan Jianye,2125626,Toplam Gol,2-3 Gol,1.83,1.82
Bugün,18:55,Suudi Prof,Al Fateh,Al Hilal,2123386,Maç Sonucu,MS 2,1.31,1.31
